"","Datum","Daily.Nr.","Probenummer","Objektbezeichnung","Fundlage","Lage","Taxon","Name","Resttyp","Erhaltungstyp","Season","Himmelsrichtung","Art"
"1","10.12.2018","10.12.2018-118","TG18_MS1_CS_093","Kerne","MS2, M003 Ostseite","MS2","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2018","Westen","wildwachsende Pflanzen"
"2","10.12.2018","10.12.2018-158","TG18_MS1_CS_119","Samen","MS2, Suederweiterung X2, obere Schicht","MS2","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2018","Sueden","wildwachsende Pflanzen"
"3","10.12.2018","10.12.2018-171","TG18_MS1_CS_124","Korbstücke","MS2, Suederweiterung X2, obere Schicht","MS2","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2018","Sueden","wildwachsende Pflanzen"
"4","10.12.2018","10.12.2018-171","TG18_MS1_CS_124","Korbstücke","MS2, Suederweiterung X2, obere Schicht","MS2","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Sueden","Gemüse"
"5","10.12.2018","10.12.2018-171","TG18_MS1_CS_124","Korbstücke","MS2, Suederweiterung X2, obere Schicht","MS2","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Sueden","Gemüse"
"6","10.12.2018","10.12.2018-171","TG18_MS1_CS_124","Korbstücke","MS2, Suederweiterung X2, obere Schicht","MS2","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Sueden","Gemüse"
"7","10.12.2018","10.12.2018-171","TG18_MS1_CS_124","Korbstücke","MS2, Suederweiterung X2, obere Schicht","MS2","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Sueden","Gemüse"
"8","10.12.2018","10.12.2018-279","TG18_MS1_CS_128","Samen und Pflanzenreste","MS2, Westen von M007","MS2","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Nord-Osten","Gemüse"
"9","10.12.2018","10.12.2018-279","TG18_MS1_CS_128","Samen und Pflanzenreste","MS2, Westen von M007","MS2","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Nord-Osten","Gemüse"
"10","10.12.2018","10.12.2018-279","TG18_MS1_CS_128","Samen und Pflanzenreste","MS2, Westen von M007","MS2","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Nord-Osten","Gemüse"
"11","10.12.2018","10.12.2018-279","TG18_MS1_CS_128","Samen und Pflanzenreste","MS2, Westen von M007","MS2","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Nord-Osten","Gemüse"
"12","10.12.2018","10.12.2018-279","TG18_MS1_CS_128","Samen und Pflanzenreste","MS2, Westen von M007","MS2","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Nord-Osten","Gemüse"
"13","10.12.2018","10.12.2018-279","TG18_MS1_CS_128","Samen und Pflanzenreste","MS2, Westen von M007","MS2","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Nord-Osten","Gemüse"
"14","10.12.2018","10.12.2018-279","TG18_MS1_CS_128","Samen und Pflanzenreste","MS2, Westen von M007","MS2","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Nord-Osten","Gemüse"
"15","10.12.2018","10.12.2018-279","TG18_MS1_CS_128","Samen und Pflanzenreste","MS2, Westen von M007","MS2","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Nord-Osten","Gemüse"
"16","13.12.2018","13.12.2018-135","TG18_MS1_CS_226","Hülsen und Zwiebelschalen","MS1, Nordwand aussen, Korbbefund","MS1","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Norden","Gemüse"
"17","13.12.2018","13.12.2018-135","TG18_MS1_CS_226","Hülsen und Zwiebelschalen","MS1, Nordwand aussen, Korbbefund","MS1","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Norden","Gemüse"
"18","13.12.2018","13.12.2018-145","TG18_MS1_CS_231","Frucht, Kerne, Zwiebelschale","MS1, Suedwand aussen","MS1","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Sueden","Gemüse"
"19","13.12.2018","13.12.2018-162","TG18_MS1_CS_239","Früchte, Kerne, Zwiebelschale","MS2, Westen von M005, M006, M008","MS2","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Nord-Westen","Gemüse"
"20","16.12.2018","16.12.2018-118","TG18_MS1_CS_294","Zwiebelschale","MS2, zw. M003 und M008","MS2","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Nord-Osten","Gemüse"
"21","16.12.2018","16.12.2018-138","TG18_MS1_CS_308","Botanikprobe","MS2, zw. M008 und Suedwand","MS2","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Norden","Gemüse"
"22","16.12.2018","16.12.2018-138","TG18_MS1_CS_308","Botanikprobe","MS2, zw. M008 und Suedwand","MS2","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Norden","Gemüse"
"23","16.12.2018","16.12.2018-138","TG18_MS1_CS_308","Botanikprobe","MS2, zw. M008 und Suedwand","MS2","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Norden","Gemüse"
"24","16.12.2018","16.12.2018-138","TG18_MS1_CS_308","Botanikprobe","MS2, zw. M008 und Suedwand","MS2","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Norden","Gemüse"
"25","16.12.2018","16.12.2018-146","TG18_MS1_CS_311","Botanikprobe","MS2, Osten von M004 (Norden von 10.12.2018-102)","MS2","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Westen","Gemüse"
"26","16.12.2018","16.12.2018-149","TG18_MS1_CS_313","Kerne, Früchte, Zwiebelschale","MS1, Nordwand aussen, nahe Nord-Ost-Ecke","MS1","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Nord-Osten","Gemüse"
"27","16.12.2018","16.12.2018-149","TG18_MS1_CS_313","Kerne, Früchte, Zwiebelschale","MS1, Nordwand aussen, nahe Nord-Ost-Ecke","MS1","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Nord-Osten","Gemüse"
"28","18.12.2018","18.12.2018-119","TG18_MS1_CS_351","Botanikprobe","MS1, Sued von Suedwand","MS1","Allium cf. cepa","Küchenzwiebel","Epidermis","vertrocknet","2018","Sueden","Gemüse"
"29","16.12.2018","16.12.2018-131","TG18_MS1_CS_302","Blätter","MS2, Osten von M006","MS2","Allium sativum","Knoblauch","Wurzel","vertrocknet","2018","Osten","Gemüse"
"30","17.12.2018","17.12.2018-126","TG18_MS1_CS_333","Knoblauch","MS2, Sandschicht zw. bot. Befund und Matte","MS2","Allium sativum","Knoblauch","Wurzel","vertrocknet","2018","Westen","Gemüse"
"31","17.12.2018","17.12.2018-126","TG18_MS1_CS_333","Knoblauch","MS2, Sandschicht zw. bot. Befund und Matte","MS2","Allium sativum","Knoblauch","Wurzel","vertrocknet","2018","Westen","Gemüse"
"32","17.12.2018","17.12.2018-126","TG18_MS1_CS_333","Knoblauch","MS2, Sandschicht zw. bot. Befund und Matte","MS2","Allium sativum","Knoblauch","Wurzel","vertrocknet","2018","Westen","Gemüse"
"33","18.12.2018","18.12.2018-106","TG18_MS1_CS_343","Probepflanzen","MS2, S1 + S2","MS2","Allium sativum","Knoblauch","Wurzel","vertrocknet","2018","Westen","Gemüse"
"34","18.12.2018","18.12.2018-106","TG18_MS1_CS_343","Probepflanzen","MS2, S1 + S2","MS2","Allium sativum","Knoblauch","Wurzel","vertrocknet","2018","Westen","Gemüse"
"35","18.12.2018","18.12.2018-106","TG18_MS1_CS_343","Probepflanzen","MS2, S1 + S2","MS2","Allium sativum","Knoblauch","Wurzel","vertrocknet","2018","Westen","Gemüse"
"36","18.12.2018","18.12.2018-106","TG18_MS1_CS_343","Probepflanzen","MS2, S1 + S2","MS2","Allium sativum","Knoblauch","Wurzel","vertrocknet","2018","Westen","Gemüse"
"37","18.12.2018","18.12.2018-106","TG18_MS1_CS_343","Probepflanzen","MS2, S1 + S2","MS2","Allium sativum","Knoblauch","Wurzel","vertrocknet","2018","Westen","Gemüse"
"38","18.12.2018","18.12.2018-106","TG18_MS1_CS_343","Probepflanzen","MS2, S1 + S2","MS2","Allium sativum","Knoblauch","Wurzel","vertrocknet","2018","Westen","Gemüse"
"39","18.12.2018","18.12.2018-106","TG18_MS1_CS_343","Probepflanzen","MS2, S1 + S2","MS2","Allium sativum","Knoblauch","Wurzel","vertrocknet","2018","Westen","Gemüse"
"40","18.12.2018","18.12.2018-130","TG18_MS1_CS_356","Früchte","MS1, Nordwand (Nord-Ost-Ecke)","MS1","Allium sativum","Knoblauch","Wurzel","vertrocknet","2018","Nord-Osten","Gemüse"
"41","18.12.2018","18.12.2018-130","TG18_MS1_CS_356","Früchte","MS1, Nordwand (Nord-Ost-Ecke)","MS1","Allium sativum","Knoblauch","Wurzel","vertrocknet","2018","Nord-Osten","Gemüse"
"42","12.12.2018","12.12.2018-112","TG18_MS1_CS_177","Brotstück (?)","MS2, Lehmziegelverbruch (Sued-Ost-Ecke)","MS2","Brei/Gebaeck/Fruchtfleisch","Brei/Gebaeck/Fruchtfleisch","Brei/Gebäck/Fruchtfleisch","vertrocknet","2018","Osten",NA
"43","09.12.2018","9.12.2018-166","TG18_MS1_CS_074","Botanische Reste","MS2, Suederweiterung X2, obere Schicht","MS2","Brei/Gebaeck/Fruchtfleisch","Brei/Gebaeck/Fruchtfleisch","Brei/Gebäck/Fruchtfleisch","verkohlt","2018","Sueden",NA
"44","10.12.2018","10.12.2018-114","TG18_MS1_CS_091","Verkohltes Holz und Früchte","MS2, bot. Befund im Sued-Ost von M004","MS2","Brei/Gebaeck/Fruchtfleisch","Brei/Gebaeck/Fruchtfleisch","Brei/Gebäck/Fruchtfleisch","verkohlt","2018","Westen",NA
"45","16.12.2018","16.12.2018-134","TG18_MS1_CS_305","Kerne und Früchte","MS2, zw. M004, M006 und Matte","MS2","Brei/Gebaeck/Fruchtfleisch","Brei/Gebaeck/Fruchtfleisch","Brei/Gebäck/Fruchtfleisch","verkohlt","2018","Westen",NA
"46","16.12.2018","16.12.2018-134","TG18_MS1_CS_305","Kerne und Früchte","MS2, zw. M004, M006 und Matte","MS2","Brei/Gebaeck/Fruchtfleisch","Brei/Gebaeck/Fruchtfleisch","Brei/Gebäck/Fruchtfleisch","verkohlt","2018","Westen",NA
"47","16.12.2018","16.12.2018-134","TG18_MS1_CS_305","Kerne und Früchte","MS2, zw. M004, M006 und Matte","MS2","Brei/Gebaeck/Fruchtfleisch","Brei/Gebaeck/Fruchtfleisch","Brei/Gebäck/Fruchtfleisch","verkohlt","2018","Westen",NA
"48","16.12.2018","16.12.2018-134","TG18_MS1_CS_305","Kerne und Früchte","MS2, zw. M004, M006 und Matte","MS2","Brei/Gebaeck/Fruchtfleisch","Brei/Gebaeck/Fruchtfleisch","Brei/Gebäck/Fruchtfleisch","verkohlt","2018","Westen",NA
"49","10.12.2018","10.12.2018-171","TG18_MS1_CS_124","Korbstücke","MS2, Suederweiterung X2, obere Schicht","MS2","Cucurbitaceae sp.","Kürbisgewächs","Stiel","vertrocknet","2018","Sueden","Gemüse"
"50","10.12.2018","10.12.2018-171","TG18_MS1_CS_124","Korbstücke","MS2, Suederweiterung X2, obere Schicht","MS2","Cyperus cf. papyrus","Papyrus","Halm","vertrocknet","2018","Sueden","wildwachsende Pflanzen"
"51","10.12.2018","10.12.2018-158","TG18_MS1_CS_119","Samen","MS2, Suederweiterung X2, obere Schicht","MS2","Cyperaceae sp.","Riedgras","Wurzel","vertrocknet","2018","Sueden","wildwachsende Pflanzen"
"52","16.12.2018","16.12.2018-122","TG18_MS1_CS_297","Probe","MS2, zw. M004 und M008","MS2","Cyperaceae sp.","Riedgras","Wurzel","vertrocknet","2018","Nord-Westen","wildwachsende Pflanzen"
"53","09.12.2018","9.12.2018-107","TG18_MS1_CS_042","Datteln, Dompalme, Kerne Früchte","MS2, in Schnitt X3, Aushub nach Westen hin","MS2","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Nord-Westen","Gemüse"
"54","09.12.2018","9.12.2018-107","TG18_MS1_CS_042","Datteln, Dompalme, Kerne Früchte","MS2, in Schnitt X3, Aushub nach Westen hin","MS2","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Nord-Westen","Gemüse"
"55","09.12.2018","9.12.2018-146","TG18_MS1_CS_060","Frucht (ausgetrocknet)","MS2, Westen von M006","MS2","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Nord-Westen","Gemüse"
"56","09.12.2018","9.12.2018-148","TG18_MS1_CS_061","Frucht (ausgetrocknet)","MS2, zw. M004 und M003","MS2","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Westen","Gemüse"
"57","10.12.2018","10.12.2018-124","TG18_MS1_CS_097","Holz und Frucht","MS1, Nordwand in Korbbefund","MS1","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Norden","Gemüse"
"58","10.12.2018","10.12.2018-134","TG18_MS1_CS_105","Samen","MS2, Osten von M004, ueber Matte B","MS2","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Westen","Gemüse"
"59","10.12.2018","10.12.2018-143","TG18_MS1_CS_110","Wurzel","MS2, Osten von M005, M006, M007","MS2","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Nord-Osten","Gemüse"
"60","10.12.2018","10.12.2018-158","TG18_MS1_CS_119","Samen","MS2, Suederweiterung X2, obere Schicht","MS2","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Sueden","Gemüse"
"61","10.12.2018","10.12.2018-158","TG18_MS1_CS_119","Samen","MS2, Suederweiterung X2, obere Schicht","MS2","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Sueden","Gemüse"
