"","Datum","Daily-Nr.","Probenummer","Objektbezeichnung","Fundlage","Lage","Taxon","Resttyp","Erhaltungstyp","Season"
"1","01.12.2021","01.12.2021-001","TG21.MS2_CS_001","Botanik (Sammeltüte)","MS2, S-Ende, Aushub 1","MS2","Acacia nilotica","Fr","st","2021"
"2","01.12.2021","01.12.2021-001","TG21.MS2_CS_001","Botanik (Sammeltüte)","MS2, S-Ende, Aushub 1","MS2","Acacia nilotica","Fr","st","2021"
"3","01.12.2021","01.12.2021-001","TG21.MS2_CS_001","Botanik (Sammeltüte)","MS2, S-Ende, Aushub 1","MS2","Acacia nilotica","Fr","st","2021"
"4","01.12.2021","01.12.2021-001","TG21.MS2_CS_001","Botanik (Sammeltüte)","MS2, S-Ende, Aushub 1","MS2","Acacia nilotica","Fr","st","2021"
"5","01.12.2021","01.12.2021-001","TG21.MS2_CS_001","Botanik (Sammeltüte)","MS2, S-Ende, Aushub 1","MS2","Acacia nilotica","Fr","st","2021"
"6","01.12.2021","01.12.2021-001","TG21.MS2_CS_001","Botanik (Sammeltüte)","MS2, S-Ende, Aushub 1","MS2","Acacia nilotica","Fr","st","2021"
"7","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia nilotica","Fr","st","2021"
"8","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia nilotica","Fr","st","2021"
"9","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia nilotica","Fr","st","2021"
"10","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia nilotica","Fr","st","2021"
"11","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia nilotica","Fr","st","2021"
"12","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia nilotica","Fr","st","2021"
"13","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia nilotica","Fr","st","2021"
"14","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia nilotica","Fr","st","2021"
"15","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia nilotica","Fr","st","2021"
"16","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia nilotica","Fr","st","2021"
"17","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia nilotica","Fr","st","2021"
"18","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia nilotica","Fr","st","2021"
"19","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia nilotica","Fr","st","2021"
"20","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia nilotica","Fr","st","2021"
"21","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia nilotica","Fr","st","2021"
"22","09.12.2021","09.12.2021-007","TG21.MS2_CS_022","Botanik (Sammeltüte)","MS2, O-Wand aussen","MS2","Acacia nilotica","Fr","st","2021"
"23","11.12.2021","11.12.2021-021","TG21.MS2_CS_023","Botanik (Sammeltüte)","MS2, O-Wand aussen, Südende","MS2","Acacia nilotica","Fr","st","2021"
"24","11.12.2021","11.12.2021-021","TG21.MS2_CS_023","Botanik (Sammeltüte)","MS2, O-Wand aussen, Südende","MS2","Acacia nilotica","Fr","st","2021"
"25","11.12.2021","11.12.2021-021","TG21.MS2_CS_023","Botanik (Sammeltüte)","MS2, O-Wand aussen, Südende","MS2","Acacia nilotica","Fr","st","2021"
"26","06.12.2021","06.12.2021-047","TG21.MS2_CS_017","Botanik","MS2, O-Wand aussen, Siebung Flugsand","MS2","Acacia sp.","Sa/Fr","st","2021"
"27","06.12.2021","06.12.2021-047","TG21.MS2_CS_017","Botanik","MS2, O-Wand aussen, Siebung Flugsand","MS2","Acacia sp.","Sa/Fr","st","2021"
"28","06.12.2021","06.12.2021-047","TG21.MS2_CS_017","Botanik","MS2, O-Wand aussen, Siebung Flugsand","MS2","Acacia sp.","Sa/Fr","st","2021"
"29","06.12.2021","06.12.2021-047","TG21.MS2_CS_017","Botanik","MS2, O-Wand aussen, Siebung Flugsand","MS2","Acacia sp.","Sa/Fr","st","2021"
"30","06.12.2021","06.12.2021-047","TG21.MS2_CS_017","Botanik","MS2, O-Wand aussen, Siebung Flugsand","MS2","Acacia sp.","Sa/Fr","st","2021"
"31","06.12.2021","06.12.2021-047","TG21.MS2_CS_017","Botanik","MS2, O-Wand aussen, Siebung Flugsand","MS2","Acacia sp.","Sa/Fr","st","2021"
"32","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"33","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"34","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"35","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"36","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"37","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"38","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"39","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"40","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"41","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"42","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"43","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"44","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"45","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"46","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"47","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"48","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"49","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"50","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"51","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"52","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"53","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"54","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"55","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"56","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"57","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"58","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"59","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"60","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"61","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"62","08.12.2021","08.12.2021-040","TG21.MS2_CS_021","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
"63","09.12.2021","09.12.2021-007","TG21.MS2_CS_022","Botanik (Sammeltüte)","MS2, O-Wand aussen","MS2","Acacia sp.","Sa/Fr","st","2021"
