"","Datum","Daily.Nr.","Probenummer","Objektbezeichnung","Fundlage","Lage","Taxon","Name","Resttyp","Erhaltungstyp","Season","Himmelsrichtung","Art"
"1","07.04.2022","07.04.2022-040","TG22.MS3_CS_036","Botanik","Versturz/""Mülldeponie"", Sieb","MS3","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2022","Sueden","wildwachsende Pflanzen"
"2","07.04.2022","07.04.2022-040","TG22.MS3_CS_036","Botanik","Versturz/""Mülldeponie"", Sieb","MS3","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2022","Sueden","wildwachsende Pflanzen"
"3","09.04.2022","09.04.2022-013","TG22.MS3_CS_038","Botanik","Tonnengewölbe, Siebfunde","MS3","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2022","Westen","wildwachsende Pflanzen"
"4","11.04.2022","11.04.2022-024","TG22.MS3_CS_055","Botanik","Hof MS2, Dach, Lage 5","MS2","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2022","Westen","wildwachsende Pflanzen"
"5","11.04.2022","11.04.2022-024","TG22.MS3_CS_055","Botanik","Hof MS2, Dach, Lage 5","MS2","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2022","Westen","wildwachsende Pflanzen"
"6","11.04.2022","11.04.2022-029","TG22.MS3_CS_056","Botanik","Hof MS2, Dach, Lage 5","MS2","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2022","Westen","wildwachsende Pflanzen"
"7","18.04.2022","18.04.2022-037","TG22.MS3_CS_090","Botanik","Südl. v. ToGe, Westen","MS3","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2022","Sueden","wildwachsende Pflanzen"
"8","18.04.2022","18.04.2022-037","TG22.MS3_CS_090","Botanik","Südl. v. ToGe, Westen","MS3","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2022","Sueden","wildwachsende Pflanzen"
"9","23.04.2022","23.04.2022-012","TG22.MS3_CS_125","Botanik","MS4, Osthälfte, NW, Fundament MS1","MS4","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2022","Nord-Westen","wildwachsende Pflanzen"
"10","24.04.2022","24.04.2022-016","TG22.MS3_CS_128","Botanik","MS4, Gebel-Bodenniveau (beim Putzen)","MS4","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2022","Norden","wildwachsende Pflanzen"
"11","24.04.2022","24.04.2022-016","TG22.MS3_CS_128","Botanik","MS4, Gebel-Bodenniveau (beim Putzen)","MS4","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2022","Norden","wildwachsende Pflanzen"
"12","24.04.2022","24.04.2022-016","TG22.MS3_CS_128","Botanik","MS4, Gebel-Bodenniveau (beim Putzen)","MS4","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2022","Norden","wildwachsende Pflanzen"
"13","24.04.2022","24.04.2022-035","TG22.MS3_CS_131","Botanik","MS4, Ost-Ecke","MS4","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2022","Nord-Osten","wildwachsende Pflanzen"
"14","03.04.2022","03.04.2022-013","TG22.MS3_CS_012","Botanik","Südl. v. ToGe, 2. Lage, NO-Ecke, ""Abfallhaufen""","MS3","Allium cf. cepa","Küchenzwiebel","Wurzel","vertrocknet","2022","Sueden","Gemüse"
"15","03.04.2022","03.04.2022-013","TG22.MS3_CS_012","Botanik","Südl. v. ToGe, 2. Lage, NO-Ecke, ""Abfallhaufen""","MS3","Allium cf. cepa","Küchenzwiebel","Wurzel","vertrocknet","2022","Sueden","Gemüse"
